source,reference,strategy,translation,total_log_probs,perplexity,bleu,meteor,comet_ref,comet_wmt22
"On Monday, scientists from the Stanford University School of Medicine announced the invention of a new diagnostic tool that can sort cells by type: a tiny printable chip that can be manufactured using standard inkjet printers for possibly about one U.S. cent each.",Даваа гарагт Стэнфордын Их Сургуулийн Анагаахын сургуулийн эрдэмтэд эсийг төрлөөр нь эрэмбэлж чаддаг шинэ оношилгооны багаж бүтээснээ зарлалаа: уг багаж нь тухай бүрийг нь нэг цент ам.долларын өртгөөр стандарт бэхэн хэвлэгч ашиглан үйлдвэрлэж болдог жижигхэн хэвлэж болдог чип юм.,greedy,"Monday, scientists from the Stanford University School of Medicine announced the invention of a new diagnostic tool that can sort cells by type: a tiny printable chip that can be manufactured using standard inkjet printers for possibly about one U.S. cent each.",-5.2421875,1.1082564229402827,1.0009398039350847,0.024154589371980676,0.33927372097969055,0.23283293843269348
"Lead researchers say this may bring early detection of cancer, tuberculosis, HIV and malaria to patients in low-income countries, where the survival rates for illnesses such as breast cancer can be half those of richer countries.","Гол судлаачдын зүгээс энэ нь хөхний хорт хавдар зэрэг өвчнөөс амьд үлдэх хувь хэмжээ нь баян орнуудтай харьцуулахад хагастай нь тэнцдэг бага орлоготой улс орнууд дахь өвчтөнүүдэд хорт хавдар, сүрьеэ, ДОХ болон хумхаа өвчнийг эрт илрүүлэх болно гэж хэлж байгаа юм.",greedy,"Researchers say this may bring early detection of cancer, tuberculosis, HIV and malaria to patients in low-income countries, where the survival rates for illnesses such as breast cancer can be half those of richer countries.",-7.34765625,1.177367777814527,1.0919894268138957,0.034482758620689655,0.3650762140750885,0.2039361298084259
"The JAS 39C Gripen crashed onto a runway at around 9:30 am local time (0230 UTC) and exploded, closing the airport to commercial flights.","ЖАС 39Си Грипен нь орон нутгийн цагаар өглөөний 9 цаг 30 минутанд (UTC цагаар 02 цаг 30 минут) нисэх зурвас руу унаж, дэлбэрсэн тул онгоцны буудлын арилжааны нислэгүүдийг хаажээ.",greedy,"JAS 39C Gripen crashed: The JAS 39C Gripen crashed onto a runway at around 9:30 am local time (0230 UTC) and exploded, closing the airport to commercial flights.",-10.828125,1.286360432259945,1.7176188460170134,0.07575757575757576,0.4011017680168152,0.25720417499542236
The pilot was identified as Squadron Leader Dilokrit Pattavee.,Нисгэгч нь Эскадрилийн аххлагч Дилокрит Паттавий болохыг таньжээ.,greedy,The pilot was identified as Squadron Leader Dilokrit Pattavee.,-3.1015625,1.200147964498205,4.196114906296549,0.05494505494505494,0.3992992043495178,0.34194445610046387
Local media reports an airport fire vehicle rolled over while responding.,Нисэх онгоцны буудлын галын машин өнхөрсөн талаар орон нутгийн хэвлэлийнхэн мэдээлжээ.,greedy,Local media reports an airport fire vehicle rolled over while responding.,-3.181640625,1.2772912013133213,3.3864985683445354,0.041666666666666664,0.3161918818950653,0.2427329123020172
"28-year-old Vidal had joined Barça three seasons ago, from Sevilla.",28 настай Видал нь гурван улирлын өмнө Севиллагаас Барсад нэгджээ.,greedy,"28-year-old Vidal a joined Barça three seasons ago, from Sevilla.",-7.11328125,1.6621160472577445,3.377156414337854,0.04504504504504504,0.4661408066749573,0.30431440472602844
"Since moving to the Catalan-capital, Vidal had played 49 games for the club.",Каталаны нийслэл рүү нүүснээс хойш Видал клубын төлөө 49 тэмцээнд тогложээ.,greedy,"Since moving to the Catalan-capital, Vidal played 49 games for the club.",-4.71875,1.3199231687498876,3.377156414337854,0.0819672131147541,0.44718196988105774,0.5791537761688232
"The protest started around 11:00 local time (UTC+1) on Whitehall opposite the police-guarded entrance to Downing Street, the Prime Minister's official residence.",Уг эсэргүүцэл нь орон нутгийн цагаар 11:00 цагт (UTC+1) Уайтхоллд Ерөнхий сайдын албан ёсны байр байдаг Даунингийн гудамж руу ордог цагдаагийн хамгаалалттай хаалганы эсрэг талд эхэлсэн байна.,greedy,"Protest started around 11:00 local time (UTC+1) on Whitehall opposite the police-guarded entrance to Downing Street, the Prime Minister's official residence.",-7.44140625,1.2529454746071478,13.964303924963906,0.15067567567567566,0.44098708033561707,0.34190255403518677
"Just after 11:00, protesters blocked traffic on the northbound carriage in Whitehall.",Дөнгөж 11:00 цаг болсны дараа эсэргүүцэгчид Уайтхолл дах хойд хязгаарын галт тэрэгний хөдөлгөөнийг хаажээ.,greedy,"11:11 pm, protesters blocked traffic on the northbound carriage in Whitehall.",-6.26953125,1.4459925273021068,5.090564127188443,0.03378378378378378,0.40306714177131653,0.2862384617328644
"At 11:20, the police asked the protesters to move back on to the pavement, stating that they needed to balance the right to protest with the traffic building up.","11:20 цагт цагдаа эсэргүүцэл илэрхийлэгчдийг засмал зам хүртэл ухрахыг хүсжээ, учир нь эсэргүүцэл илэрхийлэх эрхийг овоорч буй замын хөдөлгөөнтэй тэнцвэржүүлэх хэрэгтэй байна гэж хэлжээ.",greedy,"11:20 pm, the police asked the protesters to move back on to the pavement, stating that they needed to balance the right to protest with the traffic building up.",-7.96484375,1.25554151337976,4.603799154398035,0.05639097744360902,0.40821853280067444,0.24606522917747498
