source,reference,strategy,translation,total_log_probs,perplexity,bleu,meteor,comet_ref,comet_wmt22
"On Monday, scientists from the Stanford University School of Medicine announced the invention of a new diagnostic tool that can sort cells by type: a tiny printable chip that can be manufactured using standard inkjet printers for possibly about one U.S. cent each.","Des scientifiques de l’école de médecine de l’université de Stanford ont annoncé ce lundi la création d'un nouvel outil de diagnostic, qui permettrait de différencier les cellules en fonction de leur type. Il s'agit d'une petit puce imprimable, qui peut être produite au moyen d'une imprimante à jet d'encre standard, pour un coût d'environ un cent de dollar pièce.",greedy,"Le lundi, les scientifiques de l'université de Stanford ont annoncé la création d'un nouveau diagnostic qui peut être utilisé pour séparer les cellules en fonction de leur taille : une petite puce imprimable qui peut être fabriquée à partir de jet d'encre standard pour environ un centime par unité.",-22.38626480102539,1.4810354740057008,18.2471997387865,0.4573501364945216,0.7654188275337219,0.8211588859558105
"Lead researchers say this may bring early detection of cancer, tuberculosis, HIV and malaria to patients in low-income countries, where the survival rates for illnesses such as breast cancer can be half those of richer countries.","Selon les chercheurs principaux, cela pourrait permettre une détection précoce du cancer, de la tuberculose, du VIH et du paludisme chez les patients des pays à faible revenu, où le taux de survie à des maladies telles que le cancer du sein peut être deux fois moins élevé que dans les pays riches.",greedy,"Les chercheurs disent que cela pourrait permettre de détecter le cancer, la tuberculose, le VIH et la malaria chez les patients dans les pays en voie de développement, où les taux de survie pour les maladies telles que le cancer du sein peuvent être deux fois plus élevés que ceux des pays riches.",-16.544078826904297,1.3300848516010226,25.94502438234664,0.6658256278907649,0.8733587861061096,0.8677401542663574
"The JAS 39C Gripen crashed onto a runway at around 9:30 am local time (0230 UTC) and exploded, closing the airport to commercial flights.","Le JAS 39C Gripen s’est écrasé sur une piste autour de 9 h 30 heure locale (0230 UTC) et a explosé, provoquant la fermeture de l’aéroport aux vols commerciaux.",greedy,"Le JAS 39C Gripen a explosé sur un terrain de vol à environ 9h30 heure locale (0230 UTC) et s'est écrasé, mettant fin à la piste de l'aéroport pour les vols commerciaux.",-17.0794620513916,1.4742797892597714,29.72702291042787,0.5892131700144978,0.8365078568458557,0.81657874584198
The pilot was identified as Squadron Leader Dilokrit Pattavee.,Le pilote a été identifié comme étant le chef d’escadron Dilokrit Pattavee.,greedy,Le pilote a été identifié comme le chef de la section Dilokrit Pattavee.,-2.7736737728118896,1.148760676477932,48.41524713034602,0.7307670974541015,0.8591331839561462,0.8596560955047607
Local media reports an airport fire vehicle rolled over while responding.,La presse locale a rapporté qu'un véhicule de lutte contre l'incendie de l'aéroport a fait des tonneaux en portant secours.,greedy,Les médias locaux rapportent qu'un véhicule de lutte contre l'incendie a percuté un véhicule de secours en panne.,-9.478690147399902,1.484303179611118,26.12293818465019,0.4271296884933248,0.7274457812309265,0.6915507316589355
"28-year-old Vidal had joined Barça three seasons ago, from Sevilla.","Vidal, 28 ans, avait rejoint le Barça il y a trois saisons, en provenance de Séville.",greedy,"Le 28e joueur du Barça, Vidal, avait rejoint le club il y a trois saisons, de Sevilla.",-8.375885009765625,1.439317313705187,38.75407750115175,0.7083471531232725,0.678851306438446,0.7984462976455688
"Since moving to the Catalan-capital, Vidal had played 49 games for the club.","Depuis son arrivée dans la capitale catalane, Vidal a joué 49 matchs pour le club.",greedy,"Depuis son arrivée à la capitale catalane, Vidal a joué 49 matchs pour le club.",-2.114930391311645,1.1177437291344472,82.82477531331043,0.9402573529411764,0.9685059189796448,0.8945157527923584
"The protest started around 11:00 local time (UTC+1) on Whitehall opposite the police-guarded entrance to Downing Street, the Prime Minister's official residence.","La manifestation a commencé vers 11 h heure locale (UTC+1) sur Whitehall, en face de l'entrée gardée par la police de Downing Street, la résidence officielle du Premier ministre.",greedy,"La manifestation a commencé vers 11 h 00 heure locale (UTC+1) sur le parvis de Downing Street, la résidence officielle du Premier ministre.",-9.446475982666016,1.35625202541478,60.70745650731224,0.7190523857190525,0.8848077058792114,0.7918602228164673
"Just after 11:00, protesters blocked traffic on the northbound carriage in Whitehall.","À Whitehall, peu après 11 h 00, des manifestants ont bloqué la circulation des véhicules en direction du nord.",greedy,"À 11 h 00, les manifestants ont bloqué la circulation sur le boulevard périphérique de Whitehall.",-6.882331371307373,1.387814302486587,28.98008029024801,0.5722660530352838,0.8590126633644104,0.805946409702301
"At 11:20, the police asked the protesters to move back on to the pavement, stating that they needed to balance the right to protest with the traffic building up.","À 11 h 20, la police a demandé aux manifestants de retourner sur le trottoir, déclarant qu’ils devaient trouver un équilibre entre le droit de manifester et l’augmentation de la circulation.",greedy,"À 11:20, les policiers ont demandé aux manifestants de se mettre en retrait sur le trottoir, déclarant qu'ils devaient faire face à la pression de la circulation avec le respect du droit à la manifestation.",-20.66519927978516,1.6356308227999137,20.866213249382355,0.4360526315789473,0.8582666516304016,0.8295885324478149
"Around 11:29, the protest moved up Whitehall, past Trafalgar Square, along the Strand, passing by Aldwych and up Kingsway towards Holborn where the Conservative Party were holding their Spring Forum in the Grand Connaught Rooms hotel.","A 11 h 29, la manifestation s'est déplacée vers Whitehall, devant Trafalgar Square, le long du Strand, en passant par Aldwych et en remontant Kingsway vers Holborn, où le Parti Conservateur tenait son Forum de printemps à l'hôtel Grand Connaught Rooms.",greedy,"À 11:29, la manifestation a commencé à Whitehall, passant par Trafalgar Square, sur la rue Strand, passant par Aldwych et passant par Kingsway vers Holborn où le Parti Conservateur tenait son Forum de printemps à l'hôtel Grand Connaught Rooms.",-19.878576278686523,1.4087940768123102,48.43612838212346,0.6796601404349119,0.8389264941215515,0.8374700546264648
Nadal's head to head record against the Canadian is 7–2.,Le score de Nadal en confrontations directes face au Canadien est de 7-2.,greedy,Le record de tête à tête de Nadal contre le Canadien est de 7–2.,-3.493612051010132,1.2142050203330734,12.51723443026766,0.4501375018092343,0.8813626170158386,0.8827172517776489
He recently lost against Raonic in the Brisbane Open.,Il a récemment perdu un match contre Raonic durant l'Open de Brisbane.,greedy,Il a récemment perdu contre Raonic lors du tournoi de Brisbane.,-2.5477027893066406,1.1995887271383097,31.44006510201676,0.6847545219638242,0.892387866973877,0.8898407220840454
Nadal bagged 88% net points in the match winning 76 points in the first serve.,"Nadal a amassé 88 % de points nets dans le match, remportant 76 points au premier service.",greedy,"Nadal a obtenu 88% de points nets dans le match, remportant 76 points dans le premier service.",-4.957733154296875,1.2405484936490316,67.09293368821521,0.8787296871320133,0.9178773760795592,0.8434035778045654
"After the match, King of Clay said, ""I am just excited about being back in the final rounds of the most important events. I am here to try to win this.""","Après le match, le roi de la terre battue a déclaré : « Je suis tout simplement ravi d'être de retour pour les phases finales des événements les plus importants. Je suis ici pour essayer de gagner ».",greedy,"Après le match, le roi de la terre battue a déclaré : « Je suis juste excité d'être de retour dans les rondes finales des événements les plus importants. Je suis ici pour essayer de gagner cette partie. »",-12.200952529907228,1.3037413576568508,71.44309393548185,0.8738848337388484,0.8885589838027954,0.7953465580940247
"""Panama Papers"" is an umbrella term for roughly ten million documents from Panamanian law firm Mossack Fonseca, leaked to the press in spring 2016.","Les « Panama Papers » est une expression générique désignant environ dix millions de documents provenant du cabinet d'avocats panaméen Mossack Fonseca, et qui ont filtré dans la presse au printemps 2016.",greedy,"""Panama Papers"" est un terme générique pour environ dix millions de documents provenant de la société de droit privé Mossack Fonseca, qui ont été divulgués au grand jour en 2016.",-14.41441249847412,1.4471561003961764,22.49495261812845,0.5046032263320841,0.8739237189292908,0.8613110780715942
The documents showed fourteen banks helped wealthy clients hide billions of US dollars of wealth to avoid taxes and other regulations.,Les documents montrent que 14 banques ont aidé des clients fortunés à cacher des milliards de dollars américains de richesse pour éviter les impôts et autres réglementations.,greedy,Les documents montraient que quatorze banques ont aidé des clients fortunés à dissimuler des milliards de dollars de richesse pour éviter les impôts et d'autres réglementations.,-5.464766979217529,1.1927753347169543,54.22418794359802,0.8170552404956942,0.9322784543037416,0.8911329507827759
