source,reference,strategy,translation,total_log_probs,perplexity,bleu,meteor,comet_ref,comet_wmt22
周一，斯坦福大学医学院的科学家宣布，他们发明了一种可以将细胞按类型分类的新型诊断工具：一种可打印的微型芯片。这种芯片可以使用标准喷墨打印机制造，每片价格可能在一美分左右。,"On Monday, scientists from the Stanford University School of Medicine announced the invention of a new diagnostic tool that can sort cells by type: a tiny printable chip that can be manufactured using standard inkjet printers for possibly about one U.S. cent each.",greedy,"On Monday, the Stanford University Medical School scientists announced that they have developed a new diagnostic tool that can classify cells based on their type. The chip uses standard inkjet printing technology, which costs a few cents per piece.",-29.21875,1.9142110541079196,16.99735355797998,0.48786893709496837,0.8529256582260132,0.8302483558654785
主要研究人员表示，这可以让低收入国家/地区的患者尽早发现癌症、肺结核、艾滋病和疟疾。在这些国家/地区，乳腺癌等疾病的生存率可能仅为富裕国家的一半。,"Lead researchers say this may bring early detection of cancer, tuberculosis, HIV and malaria to patients in low-income countries, where the survival rates for illnesses such as breast cancer can be half those of richer countries.",greedy,"The main researchers said that this would allow patients in developing countries to be diagnosed early, such as breast cancer, HIV, and TB. In developing countries, the survival rate of breast cancer patients in the United States is about half that of the richer countries.",-39.78125,2.118248615819553,10.678967780724383,0.5571279606733204,0.8139157891273499,0.7627012133598328
当地时间上午 9:30 左右 (UTC 0230)，JAS 39C 鹰狮战斗机撞上跑道并发生爆炸，导致机场关闭，商业航班无法正常起降。,"The JAS 39C Gripen crashed onto a runway at around 9:30 am local time (0230 UTC) and exploded, closing the airport to commercial flights.",greedy,"At approximately 9:30 a.m. local time (0230 UTC) on Monday, the JAS 39C  Tornado fighter crashed into the runway and exploded, causing the airport to close and the commercial flights to be unable to land.",-21.875,1.5356005904121244,20.470426285577677,0.6784253049175234,0.8571687936782837,0.8498563766479492
涉事飞行员是空军中队长迪罗里·帕塔维 (Dilokrit Pattavee)。,The pilot was identified as Squadron Leader Dilokrit Pattavee.,greedy,The pilot involved was the captain of the FAA's Air Force One.,-12.8359375,2.2305453201248047,7.347053125977879,0.19230769230769232,0.5642066597938538,0.6624679565429688
当地媒体报道，一辆机场消防车在响应火警时翻了车。,Local media reports an airport fire vehicle rolled over while responding.,greedy,The local media reported that a car was involved in a fire at the airport.,-9.6640625,1.765571201083916,3.4585921141027365,0.41218637992831536,0.7354195713996887,0.6591110229492188
三个赛季前，28岁的比达尔（Vidal）从塞维利亚队加盟巴萨。,"28-year-old Vidal had joined Barça three seasons ago, from Sevilla.",greedy,"Vidal, 28, joined Barça from Sevilla in January.",-7.20703125,1.8231867609736352,9.596928383261213,0.4810495626822157,0.8613865375518799,0.6713408827781677
自从转会到加泰罗尼亚的首府球队，维达尔已经为俱乐部踢了 49 场比赛。,"Since moving to the Catalan-capital, Vidal had played 49 games for the club.",greedy,"Since joining the Catalan club, Vidal has played 49 matches for the club.",-5.23828125,1.3873460119831933,23.505204106959592,0.625,0.8599492907524109,0.8415164947509766
抗议活动于当地时间 11:00 (UTC+1) 左右在白厅 (Whitehall) 开始，白厅对面是首相官邸唐宁街的入口处，由警察看守。,"The protest started around 11:00 local time (UTC+1) on Whitehall opposite the police-guarded entrance to Downing Street, the Prime Minister's official residence.",greedy,"The protest started at 11:00 (UTC+1) local time in Whitehall, the Whitehall entrance to the Whitehall square, and was guarded by police.",-21.953125,1.9449693374155086,23.232498926614173,0.5202546296296297,0.8361371159553528,0.7532229423522949
11 点刚过，抗议者便堵住了白厅北行车道的交通。,"Just after 11:00, protesters blocked traffic on the northbound carriage in Whitehall.",greedy,"At 11 o'clock, protesters blocked the road to the northbound carriageway.",-10.40625,1.9162892333134278,12.486657525198941,0.4046762589928057,0.8553420901298523,0.7425018548965454
11 点 20 分，警察要求抗议者退回到人行道，并告知抗议者，在行使抗议权利时，务必考虑到越来越拥堵的公共交通问题。,"At 11:20, the police asked the protesters to move back on to the pavement, stating that they needed to balance the right to protest with the traffic building up.",greedy,"At 11:20, police asked protesters to leave the street and inform them that they should consider the traffic situation in the city as a whole, and not just the traffic on the street.",-34.65625,2.4893125274129697,15.257340614701647,0.42485901539399484,0.8030374646186829,0.7207986116409302
11 点 29 分左右，抗议人群向前行进至白厅，经过特拉法尔加广场、斯特兰德大街、奥德维奇、京士威，向霍尔本行进，保守党正在当地的 Grand Connaught Rooms 酒店举行春季论坛。,"Around 11:29, the protest moved up Whitehall, past Trafalgar Square, along the Strand, passing by Aldwych and up Kingsway towards Holborn where the Conservative Party were holding their Spring Forum in the Grand Connaught Rooms hotel.",greedy,"At 11:29 pm, the protest marched along the streets of the city, past the Trafalgar Square, St. Lawrence, Old Vic, and the Connaught Rooms, in the Grand Connaught Rooms hotel, in downtown London.",-41.25,2.1777710220868265,20.952413238513373,0.3989270504949948,0.6839108467102051,0.5440078973770142
纳达尔（Nadal）与加拿大人的交手记录是 7-2。,Nadal's head to head record against the Canadian is 7–2.,greedy,The record of the match between the two players is 7-2.,-11.7265625,2.3108411839480794,4.016138436407654,0.16666666666666666,0.7148115038871765,0.5965933203697205
不久前，他在布里斯班公开赛上败于拉奥尼奇。,He recently lost against Raonic in the Brisbane Open.,greedy,He lost to Raonic in the Brisbane Open.,-7.25,1.9330342315385944,56.481980977130846,0.78677398989899,0.909557044506073,0.8204464912414551
纳达尔（Nadal ）在比赛中把 88% 的净胜分收入囊中，在第一个发球局赢得 76 分。,Nadal bagged 88% net points in the match winning 76 points in the first serve.,greedy,"The net points of the match were 88%, with the net for the first serve winning 76 points.",-17.921875,2.2583414717501875,15.865051965847236,0.660069373597225,0.7982677221298218,0.5913534164428711
赛后，红土之王拉斐尔·纳达尔称：“我很开心重返能这项重大赛事的决赛，我会尽全力争取夺冠。”,"After the match, King of Clay said, ""I am just excited about being back in the final rounds of the most important events. I am here to try to win this.""",greedy,"After the match, Rafael Nadal said, ""I was very happy to be back in the final of this major tournament, I will try to win this title.""",-18.546875,1.7542238618719295,27.205059762129125,0.5058314139908776,0.8012851476669312,0.8085673451423645
"“巴拿马文件” 是巴拿马莫萨克·冯塞卡律师事务所 (Mossack Fonseca) 约 1,000 万份文件的总称，这些文件在 2016 年春季被爆料给媒体。","""Panama Papers"" is an umbrella term for roughly ten million documents from Panamanian law firm Mossack Fonseca, leaked to the press in spring 2016.",greedy,"The ""Paraguay file"" is the name of the 1,000,000 documents that the Panama Papers company, Mossack Fonseca, has listed as its clients.",-33.15625,2.731182999498612,8.1921632614939,0.34346396516484495,0.6856639981269836,0.5461982488632202
文件显示，十四家银行帮助富有的客户隐藏了数十亿美元的财富来逃避税收和其它监管。,The documents showed fourteen banks helped wealthy clients hide billions of US dollars of wealth to avoid taxes and other regulations.,greedy,The document shows that fourteen banks helped wealthy clients hide billions of dollars of wealth to avoid taxes and other regulations.,-7.59765625,1.3914312316138646,73.44112539787186,0.9531539888682746,0.9353169798851013,0.870918869972229
英国《卫报》指出，在用于实现这一目标的 1200 家空壳公司中，德意志银行控制了大约三分之一。,British newspaper The Guardian suggested Deutsche Bank controlled roughly a third of the 1200 shell companies used to accomplish this.,greedy,The Guardian reported that Deutsche Bank controlled approximately one third of the 1200 companies that were used to achieve this goal.,-16.65625,2.0630485811679002,20.229280648000493,0.6220379146919431,0.8793526291847229,0.803301215171814
世界各地都发生了抗议活动，有几起刑事诉讼，冰岛和巴基斯坦政府的领导人都辞职了。,"There were protests worldwide, several criminal prosecutions, and the leaders of the governments of Iceland and Pakistan both resigned.",greedy,"Worldwide protests have taken place, several cases of criminal proceedings have been launched in Iceland and Pakistan, and the government of the two countries has been forced to resign.",-21.5,1.882033688126506,9.932580426349908,0.5327215285091019,0.8398786187171936,0.8137248754501343
马生于香港，曾就读于纽约大学和哈佛大学法学院，还一度持有美国永久居民身份证“绿卡”。,"Born in Hong Kong, Ma studied at New York University and Harvard Law School and once held an American permanent resident ""green card"".",greedy,"The man was born in Hong Kong, studied at the University of New York and the Harvard Law School, and was also a US resident with a green card.",-16.015625,1.6246980281733219,14.957644445778929,0.6238730798287584,0.8473463654518127,0.8018028140068054
谢长廷在选举期间暗示，马英九在遇到危机时可能会逃离台湾。,Hsieh implied during the election that Ma might flee the country during a time of crisis.,greedy,Hsieh implied that Ma may flee the country if he was in trouble.,-11.2578125,2.021042123795419,12.965986425820374,0.44910179640718567,0.7567151188850403,0.6393853425979614
谢长廷还声称马英九虽然很上镜，但中看不中用。,Hsieh also argued that the photogenic Ma was more style than substance.,greedy,"Hsieh also claimed that although Ma was very well-groomed, he was not very useful.",-14.3671875,1.9820898853545883,7.655122720591221,0.32059314954051793,0.6435387134552002,0.5497075915336609
尽管受到这些指责，马英九在一次演讲中主张与中国大陆建立更加紧密的联系，并轻松获胜。,"Despite these accusations, Ma won handily on a platform advocating closer ties with the Chinese mainland.",greedy,"Although these accusations were made, Mr. Ma won a rally in a speech in which he argued that the relationship between China and the mainland should be strengthened and that he was able to win the election.",-27.484375,1.9549226154347856,3.182498075985838,0.3424236840488914,0.7675476670265198,0.7539179921150208
今日最佳选手是来自华盛顿首都队的亚历克斯·奥韦奇金。,Today's Player of the Day is Alex Ovechkin of the Washington Capitals.,greedy,"Today's best player is from the Washington Capitals, Alex Ovechkin.",-3.923828125,1.2596241957287087,16.402120362555568,0.641726618705036,0.830003559589386,0.8282022476196289
在华盛顿队以 5-3 的比分战胜亚特兰大鸫鸟队的比赛中，他贡献了 2 个进球和 2 次助攻。,He had 2 goals and 2 assists in Washington's 5-3 win over the Atlanta Thrashers.,greedy,He made 2 goals and 2 assists in the game against the Atlanta Hawks in which he scored 2 goals and 2 assists.,-10.7890625,1.4700900548461002,23.05089862656664,0.5296610169491526,0.7683135867118835,0.7267253398895264
奥韦奇金（Ovechkin）当晚的第一个助攻，来自新秀尼克拉斯·贝克斯特伦 (Nicklas Backstrom) 的制胜一球;,Ovechkin's first assist of the night was on the game-winning goal by rookie Nicklas Backstrom;,greedy,Ovechkin's first goal of the night came from Nicklas Backstrom;,-6.9453125,1.5046311635583016,17.426703830731757,0.5406060606060606,0.8313378095626831,0.77934730052948
他当晚的第二个进球是他本赛季的第60个进球，成为自1995-96赛季以来首位在一个赛季中打进60个或更多进球的球员——在1995-96赛季，亚罗米尔·雅格和马里奥·拉缪都达到了这一里程碑。,"his second goal of the night was his 60th of the season, becoming the first player to score 60 or more goals in a season since 1995-96, when Jaromir Jagr and Mario Lemieux each reached that milestone.",greedy,"The second goal of the night was his 60th goal of the season, becoming the first player in the history of the club to score 60 or more goals in a season since 1995-96, when Mario Lamas and Arminia Oyarzabal both reached the milestone.",-30.765625,1.7321894055498552,57.968564419670614,0.812032935735358,0.857820451259613,0.7829856872558594
巴滕位列 2008 年全美最富有 400 人榜单第 190 位，预计其财富达到约 23 亿美元。,Batten was ranked 190th on the 2008 400 Richest Americans list with an estimated fortune of $2.3 billion.,greedy,"The billionaire is ranked 190th in the 2008 U.S. 400 richest people list, with a net worth of $23 billion.",-19.984375,1.946719860374105,6.257164371920778,0.5324644225506294,0.8942930698394775,0.7958234548568726
他在 1950 年毕业于弗吉尼亚大学艺术与科学学院，并且是该校的重要捐赠者。,He graduated from the College of Arts & Sciences of the University of Virginia in 1950 and was a significant donor to that institution.,greedy,He graduated from the University of Virginia in 1950 and is a significant donor to the school.,-7.5625,1.48888321052886,41.54782383926569,0.6483892746913581,0.8669846057891846,0.8297852277755737
