source,reference,strategy,translation,total_log_probs,perplexity,bleu,meteor,comet_ref,comet_wmt22
"On Monday, scientists from the Stanford University School of Medicine announced the invention of a new diagnostic tool that can sort cells by type: a tiny printable chip that can be manufactured using standard inkjet printers for possibly about one U.S. cent each.","Des scientifiques de l’école de médecine de l’université de Stanford ont annoncé ce lundi la création d'un nouvel outil de diagnostic, qui permettrait de différencier les cellules en fonction de leur type. Il s'agit d'une petit puce imprimable, qui peut être produite au moyen d'une imprimante à jet d'encre standard, pour un coût d'environ un cent de dollar pièce.",greedy,"Le lundi, des scientifiques de l'école de médecine de l'université de Stanford ont annoncé la découverte d'un nouveau diagnostic qui peut être utilisé pour séparer les cellules en fonction de leur taille : un petit chip imprimable qui peut être fabriqué à partir d'un jet d'encre standard pour environ un centime par pièce.",-25.28571891784668,1.524137457840939,18.91460806313939,0.4493528698613655,0.8227277398109436,0.8249200582504272
"Lead researchers say this may bring early detection of cancer, tuberculosis, HIV and malaria to patients in low-income countries, where the survival rates for illnesses such as breast cancer can be half those of richer countries.","Selon les chercheurs principaux, cela pourrait permettre une détection précoce du cancer, de la tuberculose, du VIH et du paludisme chez les patients des pays à faible revenu, où le taux de survie à des maladies telles que le cancer du sein peut être deux fois moins élevé que dans les pays riches.",greedy,"Les chercheurs disent que cela pourrait apporter des premiers diagnostics de cancer, de tuberculose, de l'hépatite A et de la malaria chez les patients dans les pays en voie de développement, où les taux de survie pour les maladies telles que le cancer du sein peuvent être de moitié ceux des pays riches.",-19.560266494750977,1.3709283927440763,23.35185645030084,0.5148735067513951,0.8546022772789001,0.879111111164093
"The JAS 39C Gripen crashed onto a runway at around 9:30 am local time (0230 UTC) and exploded, closing the airport to commercial flights.","Le JAS 39C Gripen s’est écrasé sur une piste autour de 9 h 30 heure locale (0230 UTC) et a explosé, provoquant la fermeture de l’aéroport aux vols commerciaux.",greedy,"Le JAS 39C Gripen a heurté un runway à environ 9h30 heure locale (0230 UTC) et s'est écrasé, mettant fin à la capacité des vols commerciaux de l'aéroport.",-14.110736846923828,1.4230015682399004,28.71613441855964,0.5136986301369862,0.8633373379707336,0.7997511625289917
The pilot was identified as Squadron Leader Dilokrit Pattavee.,Le pilote a été identifié comme étant le chef d’escadron Dilokrit Pattavee.,greedy,Le pilote a été identifié comme le chef de la section Dilokrit Pattavee.,-3.0297462940216064,1.16356354156472,48.41524713034602,0.7307670974541015,0.8591333627700806,0.8596560955047607
Local media reports an airport fire vehicle rolled over while responding.,La presse locale a rapporté qu'un véhicule de lutte contre l'incendie de l'aéroport a fait des tonneaux en portant secours.,greedy,Les médias locaux rapportent qu'un véhicule de lutte contre l'incendie a percuté un véhicule de lutte contre l'incendie alors qu'il se déplaçait.,-10.837397575378418,1.4351172968639707,22.45166162074563,0.324656417423713,0.4976148903369903,0.5938964486122131
"28-year-old Vidal had joined Barça three seasons ago, from Sevilla.","Vidal, 28 ans, avait rejoint le Barça il y a trois saisons, en provenance de Séville.",greedy,"Le 28e joueur du Barça, Vidal, avait rejoint le club il y a trois saisons, de la Séville.",-9.849818229675291,1.48288976682138,38.45708950626752,0.7589147586633664,0.6670030355453491,0.7809864282608032
"Since moving to the Catalan-capital, Vidal had played 49 games for the club.","Depuis son arrivée dans la capitale catalane, Vidal a joué 49 matchs pour le club.",greedy,"Depuis son arrivée à la capitale catalane, Vidal avait joué 49 matchs pour le club.",-2.0542211532592773,1.1141779883034453,64.22727797927409,0.8788235294117647,0.9658657312393188,0.8930709362030029
"The protest started around 11:00 local time (UTC+1) on Whitehall opposite the police-guarded entrance to Downing Street, the Prime Minister's official residence.","La manifestation a commencé vers 11 h heure locale (UTC+1) sur Whitehall, en face de l'entrée gardée par la police de Downing Street, la résidence officielle du Premier ministre.",greedy,"La manifestation a commencé vers 11 h 00 heure locale (UTC+1) sur le parvis de la résidence du Premier ministre, la résidence officielle du Premier ministre.",-13.06358242034912,1.485670423407877,53.776458619568096,0.6810075164281214,0.7965632081031799,0.766483724117279
"Just after 11:00, protesters blocked traffic on the northbound carriage in Whitehall.","À Whitehall, peu après 11 h 00, des manifestants ont bloqué la circulation des véhicules en direction du nord.",greedy,"À 11 h 00, les manifestants ont bloqué la circulation sur le boulevard périphérique de Whitehall.",-7.844807147979736,1.4529009967576447,28.98008029024801,0.5722660530352838,0.8590126633644104,0.805946409702301
"At 11:20, the police asked the protesters to move back on to the pavement, stating that they needed to balance the right to protest with the traffic building up.","À 11 h 20, la police a demandé aux manifestants de retourner sur le trottoir, déclarant qu’ils devaient trouver un équilibre entre le droit de manifester et l’augmentation de la circulation.",greedy,"À 11:20, la police a demandé aux manifestants de retourner sur le trottoir, déclarant qu'ils devaient faire face à la pression de la circulation avec le bâtiment en place.",-16.59833526611328,1.585761713932968,49.28847458564767,0.5311821698376321,0.7299274206161499,0.5840303301811218
